2,0,1,6411949,5
12,0,1,6412149,10
22,0,1,6411949,3
23,26,1,6411949,12
25,0,1,6481949,12
26,0,1,6281949,3
34,0,0,6481949,10
36,0,1,6281949,7
42,0,0,6281949,11
47,20,1,6412149,8
49,1,1,6081949,10
53,0,0,6411949,7
54,0,0,6281949,9
55,0,0,6481949,2
58,0,0,6412149,7
59,0,0,6481949,7
62,0,1,6412149,8
65,0,1,6412149,1
68,7,0,6411949,11
74,0,0,6281949,2
80,0,1,6481949,6
81,0,0,6581949,12
86,0,1,6581949,5
87,0,0,6411949,7
96,0,1,6411949,11
97,0,1,6581949,6
99,0,1,6412149,2
100,15,1,6412149,4
102,0,0,6581949,9
104,1,0,6081949,5
114,0,0,6281949,11
118,0,1,6481949,4
119,0,1,6581949,2
120,0,1,6412149,5
124,2,1,6281949,7
131,0,1,6281949,4
135,0,0,6281949,12
137,0,1,6281949,9
139,7,1,6412149,8
152,0,1,6412149,11
162,0,0,6581949,3
163,1,1,6081949,2
165,4,0,6081949,1
167,29,0,6281949,2
168,0,0,6481949,7
172,17,0,6281949,3
174,0,0,6301949,10
175,2,0,6581949,2
177,0,0,6481949,1
183,1,0,6412149,10
189,7,0,6281949,4
197,0,0,6411949,5
200,0,0,6301949,10
204,2,0,6281949,12
205,0,1,6411949,9
213,0,0,6281949,9
219,0,0,6412149,11
220,0,1,6581949,7
222,0,1,6481949,2
225,0,0,6412149,5
230,0,1,6411949,12
244,18,0,6301949,11
245,0,0,6481949,12
250,36,1,6301949,10
259,0,0,6301949,7
266,0,1,6412149,12
268,0,1,6411949,6
271,1,1,6301949,8
279,94,0,6281949,12
281,0,0,6581949,5
284,0,1,6481949,6
285,4,0,6411949,1
291,10,1,6412149,1
292,0,1,6281949,3
303,0,0,6411949,6
305,0,1,6412149,2
314,0,1,6412149,4
316,6,1,6411949,9
318,17,0,6581949,3
327,0,0,6481949,10
328,0,1,6412149,6
339,15,0,6411949,6
340,0,1,6412149,9
346,2,1,6411949,6
348,0,1,6581949,4
354,0,0,6412149,5
355,1,1,6412149,12
357,42,1,6412149,11
364,0,1,6301949,1
375,4,1,6481949,8
